Categories,India/State/UT/Agency,2009-10-Total ANC registeration,2009-10-Number of pregnant women received 3 ANC Checkups,2010-11-Total ANC registeration,2010-11-Number of pregnant women received 3 ANC Checkups,2011-12*-Total ANC registeration,2011-12*-Number of pregnant women received 3 ANC Checkups,2012-13*-Total ANC registeration,2012-13*-Number of pregnant women received 3 ANC Checkups
Major States,Andhra Pradesh,1808357,1557116,1762254,1512224,1780005,1471406,1876199,1436607
Major States,Assam,734711,411191,772510,494806,803938,534996,803370,573064
Major States,Bihar,1816778,802089,2270420,1141968,2517011,1370611,2435830,1373228
Major States,Chhattisgarh,650755,541747,651442,526740,698441,517878,653211,474342
Major States,Gujarat,1425228,1062285,1380710,1008208,1383654,1034444,1413756,1055712
Major States,Haryana,654276,485256,608720,470617,601074,491391,583809,495418
Major States,Jharkhand,655311,406788,762847,471578,735305,444986,724285,474646
Major States,Karnataka,1292237,1106598,1606448,1299742,1590922,1463352,1486947,1493107
Major States,Kerala,624899,481753,546531,456562,529067,446635,515226,461253
Major States,Madhya Pradesh,1993145,1585013,2036019,1589032,1944683,1488982,1788350,1410794
Major States,Maharashtra,2117762,1472039,2174182,1348059,2233493,1579479,2159123,1600295
Major States,Odisha,860274,764919,854464,725665,880334,753024,765237,688361
Major States,Punjab,508435,439110,511866,437465,488256,421296,478468,429521
Major States,Rajasthan,2012114,1335568,1871172,1256302,1852251,1341543,1911413,1381485
Major States,Tamil Nadu,1220391,975912,1212758,902915,1149706,935358,1158597,1059940
Major States,Uttar Pradesh,5804938,4479512,5406172,3994788,4939035,3837046,4889602,3643929
Major States,West Bengal,1902114,1312132,1906787,1351969,1957241,1439907,1875886,1374850
Smaller States,Arunachal Pradesh,22414,8144,24151,8225,25501,9725,30797,9991
Smaller States,Delhi,779388,325796,768916,357777,824020,432267,850600,471037
Smaller States,Goa,30130,25102,30985,24984,29853,20662,27789,18191
Smaller States,Himachal Pradesh,157805,117131,156424,121324,139468,108884,127827,102395
Smaller States,Jammu and Kashmir,399543,173034,449864,189100,462456,180822,347880,214560
Smaller States,Manipur,111670,43006,98692,46069,92233,53385,78523,43349
Smaller States,Meghalaya,102540,42142,110804,46879,119912,54807,123528,62003
Smaller States,Mizoram,32096,22763,29126,22364,24313,18234,27733,18790
Smaller States,Nagaland,33754,9848,34544,11251,41030,13317,51974,17635
Smaller States,Sikkim,15212,8163,9925,7813,10071,8496,9288,7289
Smaller States,Tripura,72676,36685,67891,35809,76455,42738,73984,45265
Smaller States,Uttarakhand,226481,170389,203131,152838,214877,164707,196544,140246
Union Territories,Andaman and Nicobar Islands,5715,5143,5992,4675,5933,4859,6188,4992
Union Territories,Chandigarh,42165,33122,34998,27272,33601,31060,31839,34829
Union Territories,Dadra and Nagar Haveli,10483,4413,11532,4805,12187,6102,13789,9967
Union Territories,Daman and Diu,NA,NA,4537,2128,4582,2710,5784,3118
Union Territories,Lakshadweep,1017,1113,1091,1101,1136,1074,1182,1149
Union Territories,Puducherry,53819,29404,49555,26754,56043,38033,55783,38023
Other Agencies,M/O Defence,120590,88747,103714,77556,NA,NA,NA,NA
Other Agencies,M/O Railways,17127,13314,8270,7201,15595,13135,14920,12302
All India,India,28316350,20376487,28539444,20164565,28273682,20777351,27595261,20681683
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
