S.No.,State/UTs,Total,Rural,Urban
India,India,28,31,15
1,Andhra Pradesh,25,31,10
2,Assam,27,29,10
3,Bihar,28,29,11
4,Chhattisgarh,31,31,26
5,Delhi,16,24,15
6,Gujarat,26,31,16
7,Haryana,26,29,19
8,Himachal Pradesh,25,26,11
9,Jammu & Kashmir,29,31,18
10,Jharkhand,26,28,12
11,Karnataka,22,27,12
12,Kerala,6,7,3
13,Madhya Pradesh,36,39,23
14,Maharashtra,17,21,11
15,Orissa,37,39,26
16,Punjab,16,15,16
17,Rajasthan,32,36,17
18,Tamil Nadu,15,18,11
19,Uttar Pradesh,35,38,20
20,West Bengal,21,22,15
